title,address,latitude,longitude,price,description,features,number_beds,number_baths,images,letting_agent_name,available_from
2 bed flat to rent,"Orchard Brae Avenue, Edinburgh EH4",,,£950 pcm,"Stunning double two bedroom, fully furnished apartment to rent with lift access and private residential parking. Property is within walking distance to city centre and great location for transport links.,Property comprises: Entrance hall with security entry phone system and great storage, master bedroom, second double bedroom both with fitted wardrobes, bathroom (with shower over bath), a very generous lounge, fully fitted kitchen with dining area. Early viewing is highly recommended.,Landlord Registration 431114/230/28421","Furnished,Central Heating,Private Parking",2 beds,,"https://lid.zoocdn.com/u/480/360/de9ff26fa8a2085fa2dadd800f165a879447d7b4.jpg:p,https://lid.zoocdn.com/u/768/576/de9ff26fa8a2085fa2dadd800f165a879447d7b4.jpg:p,https://lid.zoocdn.com/u/1024/768/de9ff26fa8a2085fa2dadd800f165a879447d7b4.jpg:p,https://lid.zoocdn.com/u/1080/810/de9ff26fa8a2085fa2dadd800f165a879447d7b4.jpg:p,https://lid.zoocdn.com/u/1200/900/de9ff26fa8a2085fa2dadd800f165a879447d7b4.jpg:p,https://lid.zoocdn.com/u/1600/1200/de9ff26fa8a2085fa2dadd800f165a879447d7b4.jpg:p,https://lid.zoocdn.com/u/2400/1800/de9ff26fa8a2085fa2dadd800f165a879447d7b4.jpg:p",Northwood Residential Lettings (Edinburgh),Available from 19 January 2022
1 bed flat to rent,"Drumdryan Street, 3F2, Edinburgh, City Of Edinburgh EH3",,,"£1,100 pcm","Available now – furnished – no pets – no students. A spacious third floor one bedroom flat with two generous box rooms offering great flexibility. The property comprises a tastefully furnished living room and separate internal kitchen with oven and hob, smeg fridge/freezer and washing machine. There is a master bedroom with wardrobes, and further wardrobes in the first of two box rooms. Each box room has a window and the second one lends itself well to be set up as a home office or spare room. The bathroom has a WC, wash hand basin and shower over bath. Partial Gas Central Heating combined with some electric heating. Secure entry system, access to a well kept communal garden and zone permit parking. EPC C. Landlord Registration 1508765/230/24112. Clyde Property Scottish Letting Agent Registration No. LARN1902033",,1 bed,1 bath,"https://lid.zoocdn.com/u/480/360/a5a93c8c685e4924c5edda499e4c89f7ecc32eeb.jpg:p,https://lid.zoocdn.com/u/768/576/a5a93c8c685e4924c5edda499e4c89f7ecc32eeb.jpg:p,https://lid.zoocdn.com/u/1024/768/a5a93c8c685e4924c5edda499e4c89f7ecc32eeb.jpg:p,https://lid.zoocdn.com/u/1080/810/a5a93c8c685e4924c5edda499e4c89f7ecc32eeb.jpg:p,https://lid.zoocdn.com/u/1200/900/a5a93c8c685e4924c5edda499e4c89f7ecc32eeb.jpg:p,https://lid.zoocdn.com/u/1600/1200/a5a93c8c685e4924c5edda499e4c89f7ecc32eeb.jpg:p,https://lid.zoocdn.com/u/2400/1800/a5a93c8c685e4924c5edda499e4c89f7ecc32eeb.jpg:p","Clyde Property, Edinburgh",Available immediately
2 bed flat to rent,"Parkhead Loan, Saughton, Edinburgh EH11",,,£875 pcm,"Two bedroom property in Parkhead, Edinburgh, EH11.,Available- a recently refurbished, light and spacious part-furnished two double bedroom ground floor flat located in Parkhead to the west of the city centre and close to a variety of local amenities.,This well proportioned accommodation with useful storage comprising; hall, lounge, two double bedrooms, fitted kitchen and bathroom.,Further benefits are gas central heating and entry phone system. There is a private rear garden with private drive way.,Council Tax Band- B,Scottish Letting Agent Registration Number LARN1902094 EPC rating: C. Landlord Registration Number: 1514789/230/08122. Letting Agent Registration Number: 1902094.,Deposit: £875","Part furnished,Central Heating,No Smoking,No pets,On Street Parking",2 beds,,"https://lid.zoocdn.com/u/480/360/335dc83f702c801aa8f9d8826b05f55b10b1cd94.jpg:p,https://lid.zoocdn.com/u/768/576/335dc83f702c801aa8f9d8826b05f55b10b1cd94.jpg:p,https://lid.zoocdn.com/u/1024/768/335dc83f702c801aa8f9d8826b05f55b10b1cd94.jpg:p,https://lid.zoocdn.com/u/1080/810/335dc83f702c801aa8f9d8826b05f55b10b1cd94.jpg:p,https://lid.zoocdn.com/u/1200/900/335dc83f702c801aa8f9d8826b05f55b10b1cd94.jpg:p,https://lid.zoocdn.com/u/1600/1200/335dc83f702c801aa8f9d8826b05f55b10b1cd94.jpg:p,https://lid.zoocdn.com/u/2400/1800/335dc83f702c801aa8f9d8826b05f55b10b1cd94.jpg:p",Milards,Available from 17 December 2021
2 bed flat to rent,"Springfield, Edinburgh EH6",,,£900 pcm,"Property Reference: 1276989.,Bright modern, fully-furnished two bedrooms flat part of,a modern development in the Leith area available now for immediate entry.,The flat has gas central heating and is double glazed.,It is on the second floor, the stairs are all well lit, with private car parking and landscaped gardens to the outside.,The entry to the block is via intercom.,- Rent Amount: £900.00 per month (£207.69 per week),- Deposit / Bond: £1,000.00,- 2 Bedrooms,- 1 Bathrooms,- Property comes furnished,- Available to move in from 08 January, 2022,- Maximum number of tenants is 4,- No Students,- Pets considered / by arrangement,- No Smokers,- Family Friendly,- Bills not included,- Property has parking,- Property has garden access,- EPC Rating: C,You will , be charged any admin fees.,** Contact today to book a viewing and have the landlord show you round! **,Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.,OpenRent is on the Scottish Letting Agent Register, registration number LARN1809026,The landlord is on the Scottish Landlord Register, registration number 33153/230/18180","Furnished,No Agent Fees,Property Reference Number: 1276989",2 beds,1 bath,"https://lid.zoocdn.com/u/480/360/24fbdf3eb834c80359e803bfe7e16a8c217b94f5.jpg:p,https://lid.zoocdn.com/u/768/576/24fbdf3eb834c80359e803bfe7e16a8c217b94f5.jpg:p,https://lid.zoocdn.com/u/1024/768/24fbdf3eb834c80359e803bfe7e16a8c217b94f5.jpg:p,https://lid.zoocdn.com/u/1080/810/24fbdf3eb834c80359e803bfe7e16a8c217b94f5.jpg:p,https://lid.zoocdn.com/u/1200/900/24fbdf3eb834c80359e803bfe7e16a8c217b94f5.jpg:p,https://lid.zoocdn.com/u/1600/1200/24fbdf3eb834c80359e803bfe7e16a8c217b94f5.jpg:p,https://lid.zoocdn.com/u/2400/1800/24fbdf3eb834c80359e803bfe7e16a8c217b94f5.jpg:p",OpenRent,Available from 08 January 2022
3 bed flat to rent,"Avon Road, Cramond, Edinburgh EH4",,,"£1,250 pcm","This spacious property is accessed via a well kept stairwell and comprises of large hallway, two double bedrooms and one twin bedroom, separate fully fitted kitchen, and open plan living and dining area, large family bathroom and a second WC.This property provides generously proportioned space throughout and benefits from an abundance of storage options.,There is GCH, dg and a balcony to the front of the living room as well as allocated parking with private carport and off street parking.The property has been neutrally decorated throughout with tasteful furnishings adding to the warm feel of this home.,Located between Barnton and Cramond this property is an ideal family home falling into the following catchment areas-,Cramond Primary School,Cargilfield Preparatory school,Fox Covert Primary School,The Royal High Secondary School,St Augustines High School,In addition, this property is suitably located for access to the M8, Fife, Edinburgh airport and the city centre with one of the main routes into the city centre near by and a regular public bus every 15 minutes into the centre.,Local area also benefits from being near to the shore, golf courses, the beautiful tranquil river Almond, Cramond Village and Habour, the Roman Fort, and walks along the southern shore of the Forth. In addition to these attractions there are local convenience stores, several restaurants, pubs and cafes and the nearby Gyle Shopping Centre for supermarkets and shopping.,Council Tax band E,EPC Band D,Deposit: £1,350,Landlord registration: 295732/290/06001","Furnished,Central Heating,Private Parking,Parking,Double Glazing,Carpet Flooring,All White Goods,No Smoking,Balcony,Not HMO,EPC Rating - D,Council Tax Band - E,Top Floor,Gas CH,Bath,Fitted Kitchen",3 beds,,"https://lid.zoocdn.com/u/480/360/e9a54640963c7f738d9d047c25eb15ab868e8f62.jpg:p,https://lid.zoocdn.com/u/768/576/e9a54640963c7f738d9d047c25eb15ab868e8f62.jpg:p,https://lid.zoocdn.com/u/1024/768/e9a54640963c7f738d9d047c25eb15ab868e8f62.jpg:p,https://lid.zoocdn.com/u/1080/810/e9a54640963c7f738d9d047c25eb15ab868e8f62.jpg:p,https://lid.zoocdn.com/u/1200/900/e9a54640963c7f738d9d047c25eb15ab868e8f62.jpg:p,https://lid.zoocdn.com/u/1600/1200/e9a54640963c7f738d9d047c25eb15ab868e8f62.jpg:p,https://lid.zoocdn.com/u/2400/1800/e9a54640963c7f738d9d047c25eb15ab868e8f62.jpg:p",Connell & McFadden,Available from 03 January 2022
1 bed flat to rent,"Shore, Edinburgh EH6",55.9744484,-3.1849018,£850 pcm,"This fantastic ground floor flat has a good size living room which has double glazed windows and allows plenty of natural light. The living room has a large comfy sofa for relaxing or entertaining with plenty of space for you add your own furniture style. There is a long passage with the bathroom, kitchen & bedroom leading off. The bathroom has a modern shower, w/c & hand basin. The kitchen is spacious and modern, with oven, hob & extractor, washing machine & fridge/freezer. There are kitchen cupboards for food storage & worktop space for food preparation.,The double bedroom has a large double glazed window which also allows plenty of natural light. There is a good double bed & large built-in wardrobe for storage.,The property is located at The Shore with its vibrant shopping area and bespoke coffee shops and pubs. There is a Sainsburys within walking distance, it's close to Ocean Terminal with a wide range of shops, restaurants, gym and cinema.,Public transport is close by with connections to the all parts of the city including the Airport.,Landlord Registration Number: 207712/230/28170,Deposit: £1,050","Furnished,Fridge Freezer,Washing Machine,Secure Entry,Council Tax Band - C,On Street Parking",1 bed,1 bath,"https://lid.zoocdn.com/u/480/360/d68cd0ae70951956cb5b8cb44991cf06574822b2.jpg:p,https://lid.zoocdn.com/u/768/576/d68cd0ae70951956cb5b8cb44991cf06574822b2.jpg:p,https://lid.zoocdn.com/u/1024/768/d68cd0ae70951956cb5b8cb44991cf06574822b2.jpg:p,https://lid.zoocdn.com/u/1080/810/d68cd0ae70951956cb5b8cb44991cf06574822b2.jpg:p,https://lid.zoocdn.com/u/1200/900/d68cd0ae70951956cb5b8cb44991cf06574822b2.jpg:p,https://lid.zoocdn.com/u/1600/1200/d68cd0ae70951956cb5b8cb44991cf06574822b2.jpg:p,https://lid.zoocdn.com/u/2400/1800/d68cd0ae70951956cb5b8cb44991cf06574822b2.jpg:p",Pure Property Management,Available from 24 January 2022
1 bed flat to rent,"Moncrieff Terrace, Edinburgh EH9",,,£725 pcm,"Ref: 1712L: Moncrieff terrace,This is a perfectly situated 1 bedroom flat located on Moncrieff Terrace, opposite the Meadows and in the popular Sciennes area of Edinburgh. The surrounding area provides excellent transport links around the City. Princes Street itself is only a fifteen-minute walk and the likes of Tollcross and Morningside can be reached within a ten-minute drive. There is an array of local bars, restaurants and shops within walking distance.,The 2nd floor property is decorated in bright and neutral tones throughout. It is available furnished and comprises:,~Bright, open-plan living-room/kitchen with small diner, feature fireplace and wooden flooring,~Modern kitchen comprises all appliances and stylish white units with ample storage,~Good-sized double bedroom off-lounge with lots of storage and neutral décor,~Shower room with electric shower and tiled walls,~Separate WC with wash hand basin,~Entrance vestibule leading to lounge,~Communal rear garden,~Zone permit parking (Application and payment to Edinburgh City Council),~Electric heating,~Secure entry,~Sorry, no pets,~Total floor area = 30m²,~Council tax: Band B,~EPC rating: E,~Landlord registration: 458644/230/09511,~LARN1806025,Available: 14th January 2022,Rent: £725pcm,Deposit: £725,Please note the photographs shown within this advertisement may have been taken whilst a tenancy was active in the property and as a result you should not rely only on these as an accurate representation of furnishings and items included in the agreement. A full list of which items are included in the property is available upon request from our office, based on a previous tenancy. A viewing is therefore required in order to ensure you have an accurate understanding and knowledge of the condition and contents of the property,Property Reference:,1712L edi mt","Furnished,Fridge Freezer,Washing Machine,Electric Heating,Shared Garden,Shower,No pets,Permit Parking Available,2nd Floor,Public Transport Links,Secure Entry,EPC Rating - E,Council Tax Band - B",1 bed,1 bath,"https://lid.zoocdn.com/u/480/360/a41ca6fb2a885f4737fc942e030cab5d24c1d464.jpg:p,https://lid.zoocdn.com/u/768/576/a41ca6fb2a885f4737fc942e030cab5d24c1d464.jpg:p,https://lid.zoocdn.com/u/1024/768/a41ca6fb2a885f4737fc942e030cab5d24c1d464.jpg:p,https://lid.zoocdn.com/u/1080/810/a41ca6fb2a885f4737fc942e030cab5d24c1d464.jpg:p,https://lid.zoocdn.com/u/1200/900/a41ca6fb2a885f4737fc942e030cab5d24c1d464.jpg:p,https://lid.zoocdn.com/u/1600/1200/a41ca6fb2a885f4737fc942e030cab5d24c1d464.jpg:p,https://lid.zoocdn.com/u/2400/1800/a41ca6fb2a885f4737fc942e030cab5d24c1d464.jpg:p",Southside Property Management,Available from 14 January 2022
2 bed flat to rent,"Springvalley Terrace, Morningside, Edinburgh EH10",,,£800 pcm,"Attractive ground floor apartment in the sought-after Morningside area of Edinburgh. Presented to the market unfurnished, this one/two bedroom property is comprised of: Entrance hallway, living room/kitchen with storage cupboard, large master bedroom, a single bedroom, and a family bathroom with shower. The apartment offers a generous and bright living environment with a shared rear garden and a small area of private front garden/planting area. Further benefits include: Gas central heating, double glazing and residents permit parking.,Morningside offers an excellent range of shops both along Morningside Road and also Bruntsfield Place. These include newsagents, chemist, bars, cafe's, grocers and speciality shops together with a Waitrose Supermarket, Sainsbury Local and M&S Simply Food. The flat is well placed for Napier University, The Royal Edinburgh Hospital, Astley Ainslie Hospital and is in the catchment area for South Morningside and St Peters rc Primary Schools and Boroughmuir High. Other amenities include Morningside Library, Dominion Cinema and Church Hill Theatre, Blackford Hill and pond, Hermitage of Braid, Braid Hills, Braidburn Valley Park and the Braid Hills Golf Course. A number of bus services are available from the main road going to the City Centre and other parts of Edinburgh, with the A720 Edinburgh City Bypass allowing for ease of movement out with the capital.,EPC rating: D. Landlord Registration Number: 35090/230/20240. Letting Agent Registration Number: 2001001.,Deposit: £1,000","Unfurnished,Central Heating,Shower,Double Glazing,No Smoking,No pets",2 beds,1 bath,"https://lid.zoocdn.com/u/480/360/6fa96b8116d8b9fae52f4d5a3e66216ea68f507b.jpg:p,https://lid.zoocdn.com/u/768/576/6fa96b8116d8b9fae52f4d5a3e66216ea68f507b.jpg:p,https://lid.zoocdn.com/u/1024/768/6fa96b8116d8b9fae52f4d5a3e66216ea68f507b.jpg:p,https://lid.zoocdn.com/u/1080/810/6fa96b8116d8b9fae52f4d5a3e66216ea68f507b.jpg:p,https://lid.zoocdn.com/u/1200/900/6fa96b8116d8b9fae52f4d5a3e66216ea68f507b.jpg:p,https://lid.zoocdn.com/u/1600/1200/6fa96b8116d8b9fae52f4d5a3e66216ea68f507b.jpg:p,https://lid.zoocdn.com/u/2400/1800/6fa96b8116d8b9fae52f4d5a3e66216ea68f507b.jpg:p",Marchside Property,Available from 23 December 2021
1 bed flat to rent,"Hawthornvale, Edinburgh EH6",,,£690 pcm,"King Sister Letting are proud to bring to the market this attractive 1 bedroom second floor flat in excellent location close to the City Centre and a wide variety of amenities. Good order comprising: Entrance Hall, Lounge area/Fitted Kitchen with appliances, Large Double Bedroom with wardrobe. Shower room. GCH. Dg. Fitted Carpets. Shared Drying Area. On Street Parking.,Letting Information:,Date Available â€“ 2nd December 2021,Furnishings â€“ Unfurnished,Deposit - £690 In advance,Rent - £690 In advance,Letting Type - Long Term,Council Tax Band - B,EPC Rating - C,Landlord Registration â€“ 427659/230/23041,Letting Agency registration number LARN1902078,Key Features:,Gas Central Heating,Shower over bath (small bath),Washing Machine,Fridge freezer,Oven/Hob,New carpet being fitted to the bedroom, and living-room and new vinyl to the kitchen,On Street Parking,Communal Garden,No Smokers,Pets considered,This is not a HMO so maximum number of surnames allowed in the property will be 2 EPC rating: C. Landlord Registration Number: 1225753/230/22042. Letting Agent Registration Number: 1902078.",Unfurnished,1 bed,1 bath,"https://lid.zoocdn.com/u/480/360/fb242c9416c76b036325b78313b6fe1733113ca0.jpg:p,https://lid.zoocdn.com/u/768/576/fb242c9416c76b036325b78313b6fe1733113ca0.jpg:p,https://lid.zoocdn.com/u/1024/768/fb242c9416c76b036325b78313b6fe1733113ca0.jpg:p,https://lid.zoocdn.com/u/1080/810/fb242c9416c76b036325b78313b6fe1733113ca0.jpg:p,https://lid.zoocdn.com/u/1200/900/fb242c9416c76b036325b78313b6fe1733113ca0.jpg:p,https://lid.zoocdn.com/u/1600/1200/fb242c9416c76b036325b78313b6fe1733113ca0.jpg:p,https://lid.zoocdn.com/u/2400/1800/fb242c9416c76b036325b78313b6fe1733113ca0.jpg:p",King Sisters Lettings,Available immediately
1 bed flat to rent,"92/8 Restalrig Road South, Edinburgh EH7",,,£720 pcm,"Located within the popular Restalrig area to the east of Edinburgh city centre is this most impressive second floor flat.,The property has recently been upgarded by our clients and is offered for lease on a fully furnished basis with immediate entry.,The accommodation on offer includes an entrance hallway with cupboard, good sized lounge with semi-open plan kitchen fitted with modern base and wall units with cooker, fridge/freezer and washing machine, double bedroom with fitted wardrobes and modern shower room completes the accommodation.,The property is fully double glazed and has gas central heating. Council Tax Band B.,All local amenities are within close proximity, and excellent transport links provide easy access to the city centre.,No pets or smokers.",Furnished,1 bed,,"https://lid.zoocdn.com/u/480/360/c67a75eaa1b7a228973d3d37c75cc0ce68c5b30d.jpg:p,https://lid.zoocdn.com/u/768/576/c67a75eaa1b7a228973d3d37c75cc0ce68c5b30d.jpg:p,https://lid.zoocdn.com/u/1024/768/c67a75eaa1b7a228973d3d37c75cc0ce68c5b30d.jpg:p,https://lid.zoocdn.com/u/1080/810/c67a75eaa1b7a228973d3d37c75cc0ce68c5b30d.jpg:p,https://lid.zoocdn.com/u/1200/900/c67a75eaa1b7a228973d3d37c75cc0ce68c5b30d.jpg:p,https://lid.zoocdn.com/u/1600/1200/c67a75eaa1b7a228973d3d37c75cc0ce68c5b30d.jpg:p,https://lid.zoocdn.com/u/2400/1800/c67a75eaa1b7a228973d3d37c75cc0ce68c5b30d.jpg:p",Aberdein Considine - Edinburgh,Available from 17 December 2021
